2025-05-14 01:42:44,063 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:42:49,927 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notsil | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'Uyarýlar', 1] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:42:50,217 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notsil | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 'Uyarýlar', 1] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:42:55,330 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:42:55,784 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:42:59,968 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:43:00,533 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:43:04,180 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 01:43:04,486 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: notlar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:47:29,356 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
